B,C,trial,stability_min_eig
3,15,4,-0.24262605558803185
3,16,0,-0.15965849982605718
3,16,1,-0.1565961349816566
3,16,2,-0.2842234913035143
3,16,3,-0.14814516811680783
3,16,4,-0.1011902626435966
3,17,0,-0.1669533860697737
3,17,1,-0.3336823791839474
3,17,2,-0.09190674377496294
3,17,3,-0.12774344067342888
3,17,4,-0.1536916460737232
3,18,0,-0.3756854848511664
3,18,1,-1.229095741944448e-15
3,18,2,-0.07197417630754116
3,18,3,-0.06743066308227616
3,18,4,-0.29747689745126504
3,19,0,-0.1481822638051491
3,19,1,-0.1851968238338597
3,19,2,-1.5638000591982612e-15
3,19,3,-0.17202173185895037
3,19,4,-0.28026793017486207
3,20,0,-0.1310808862512411
3,20,1,-0.04738019353122049
3,20,2,-1.3057853624130919e-15
3,20,3,-2.573574706052101e-15
3,20,4,-0.16041331407442083
3,21,0,-1.9858358683793577e-15
3,21,1,-2.168671709638101e-15
3,21,2,-1.9555956905688327e-15
3,21,3,-8.756730137677283e-16
3,21,4,-1.2750450336172398e-15
3,22,0,-0.10494754515457676
3,22,1,-0.4463661270947098
3,22,2,-2.4873889130526177e-15
3,22,3,-0.1763985017643203
3,22,4,-9.184367522375042e-16
3,23,0,-8.88357802505733e-16
3,23,1,-1.5167648787015171e-15
3,23,2,-9.470052681499037e-16
3,23,3,-1.5672698382579933e-15
3,23,4,-2.4767384756202107e-15
3,24,0,-1.710205055033434e-15
3,24,1,-1.0016136968325795e-15
3,24,2,-1.4544310630964093e-15
3,24,3,-1.2577804292398712e-15
